Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,Financials: Price Earnings Ratio Before Offering Percent,Financials: Price/Book Value Before Offer,Financials: Price/Book Value After Offer,Financials: EBITDA Before Offering Host Currency,New Issues Date Company Founded
154084677811,154084677811,127129,UKC,BM,BM,1996-07-09,Fayrewood PLC,4295895138,IPO,Live,United Kingdom,,,0.45,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Charles Stanley & Co Ltd,UK Common Stock,0.36,-999.0,0.557,,,,,,,,
154084677840,154084677840,127947,UKC,BM,BM,1996-10-21,Beechcroft PLC,4295895082,IPO,Live,United Kingdom,,,2.25,London AIM,Ordinary Or Common Shares,Placement,3.00000,Consumer Cyclicals,Ellis & Partners,UK Common Stock,0.03,3.0,,,,,,,,,
154084677897,154084677897,127539,UKC,BM|CM,BM|CM,1996-09-05,Grosvenor Land Holdings PLC,4295895156,IPO,Live,United Kingdom,,,0.1875,London AIM,Ordinary Or Common Shares,Placement,na,Real Estate,English Trust Co Ltd,UK Common Stock,0.125,-999.0,,,,,,263.025,1.052,0.0,
154084677918,154084677918,127984,UKC,BM,BM,1996-10-25,Deep-Sea Leisure PLC,4295895116,IPO,Live,United Kingdom,,,3.5,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Williams de Broe PLC,UK Common Stock,1.6,-999.0,,,,,,,,,
154084677938,154084677938,127158,UKC,BM,BM,1996-07-13,Alizyme PLC,4295895633,IPO,Live,United Kingdom,,,4.9999998,London AIM,Ordinary Or Common Shares,Placement,0.75000,Healthcare,Beeson Gregory Ltd,UK Common Stock,0.6,0.75,,,,,,,,,
154084677940,154084677940,127162,UKC,BM,BM,1996-07-12,Chemical Design Holdings PLC,4296466132,IPO,Live,United Kingdom,,,1.54,London AIM,Ordinary Or Common Shares,Placement,5.00000,Technology,Not Available,UK Common Stock,1.1,5.0,1.706,,,,,,,,
154084677947,154084677947,127185,EC,BM,BM,1996-07-15,Selector Ltd,5000088762,IPO,Live,Israel,,,2.97,London AIM,Ordinary Or Common Shares,Placement,3.00000,Basic Materials,Raphael Zorn Hemsley Holdings PLC,Euro & Foreign Common Stock,0.66,3.0,,,,IL0010830136,,,,,
154084678021,154084678021,128399,UKC,BM|CM,BM|CM,1996-11-26,Dawn Til Dusk Holdings PLC,4295895126,IPO,Live,United Kingdom,,,1.5000002,London AIM,Ordinary Or Common Shares,Placement,2.00000,Consumer Non-Cyclicals,Not Available,UK Common Stock,1.15,2.0,,,,,,,,,
154084678041,154084678041,129060,UKC,BM,BM,1997-02-12,AorTech International PLC,4295895080,IPO,Live,United Kingdom,,,4.5,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Healthcare,Bell Lawrie White & Co,UK Common Stock,1.25,-999.0,,,,,,,,,
154084678075,154084678075,129463,UKC,BM,BM,1997-03-20,Bickerton Group PLC,4295895069,IPO,Live,United Kingdom,,,2.0408,London AIM,Ordinary Or Common Shares,Offer for Subscription,2.00000,Technology,Teather & Greenwood Ltd,UK Common Stock,0.4,2.0,,,,,,,,,
