Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market.1,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,RICs,bestMatch,symbol,error,best_RIC,RIC_LSE
154084746998,154084746998,2234970,EC,BM,BM,2007-04-10,St Peter Port Capital Limited,4297640357.0,IPO,Live,Guernsey,,,75.000001,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Shore Capital Group,Euro & Foreign Common Stock,1.0,-999.0,1.972,,,GG00B1V4NS68,"['SPPC.L^J21', 'SPPCl.TRE^J21', 'SPPC.BE^J21', 'SPPCgb.NXX^J21', 'SPPCgb.PZ^A12', 'SPPCl.BCO^C22', 'SPPCl.BCU^C22', 'SPPCl.BCU^A22', 'SPPC.PO^L08', 'SPPC.TG^K14', 'SPPCl.TRU^J21', 'SPPC.mEUR^D12', 'SPPCl.BCO^A22', 'SPPC.mGBP^D12']",{'error': 'No best match available'},GG00B1V4NS68,,,
154084746999,154084746999,2234972,EC,BM,BM,2007-04-11,eXpansys PLC,4295897639.0,IPO,Live,United Kingdom,2007-03-27,,9.99999982,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Consumer Cyclicals,Cenkos Securities PLC,Euro & Foreign Common Stock,0.58,-999.0,1.145,1.442,,GB00B1VMLL97,"['XPS.L^D14', 'XPS.BE^D14', 'EXYSF.PQ^J14', 'EXYSF.PK^J14', 'XPSgb.PZ^A12', 'XPS.mGBP^D12', 'XPS.mEUR^D12', 'XPSl.BCO^G14', 'XPS.TG^G13', 'XPS.PO^L08']",{'error': 'No best match available'},GB00B1VMLL97,,,
154084747055,154084747055,2244238,EC,BM,BM,2007-05-03,Tau Capital PLC,5037845036.0,IPO,Live,Isle of Man,2007-04-23,,251.000002,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Numis Securities Ltd,Euro & Foreign Common Stock,1.0,-999.0,1.0,,,IM00B1VVFG94,"['TAU.L^J19', 'TAUL.F^J19', 'TAUL.DE^E11', 'TAUl.TRE^J19', 'TAUL.BE^J19', 'TAUPF.PQ^L18', 'TAUPF.PK^L18', 'TAUgb.PZ^A12', 'TAUl.BCU^C20', 'TAU.PO^L08', 'TAU.mUSD^D12', 'TAUL.DEU^K19', 'TAUl.BCO^C20', 'TAU.mGBP^D12', 'TAUl.INS^K08', 'TAU.mEUR^D12']",{'error': 'No best match available'},IM00B1VVFG94,,,
154084747073,154084747073,2245682,EC,BM,BM,2007-05-11,Powerflute Oyj,4295866369.0,IPO,Live,Finland,2007-04-25,,48.4,FinnFirNor|London AIM,Ordinary Or Common Shares,Offer for Sale|Offer for Subscription,na,Basic Materials,Collins Stewart Ltd,Euro & Foreign Common Stock,1.1,-999.0,1.968,2.278,,FI0009015291,"['POWR.L^L16', 'PWRFF.PK^J16', 'POWR.BE^E08', 'PWRFF.PQ^J16', 'POW1V.HE^G13', 'POWRgb.ISD^L16', 'POWRgb.PZ^A12', 'POW1V.rGBP^J09', 'POW1V.rEUR^J09', 'POWR.mEUR^D12', 'POWRl.INS^K08', 'POWR.PO^L08', 'POWR.mGBP^D12', 'POWRl.BCO^L16']",{'error': 'No best match available'},FI0009015291,,,
154084747105,154084747105,2246759,EC,BM,BM,2007-05-01,ICB Financial Group Holdings AG,4297818607.0,IPO,Live,Switzerland,,,180.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Keith Bayley Rogers,Euro & Foreign Common Stock,1.0,-999.0,1.0,,,CH0030730391,"['ICB.L^K12', 'ICB.BE^K12', 'ICBgb.PZ^A12', 'ICB.TG^K12', 'ICB.PO^E08', 'ICB.PO^L08']",{'error': 'No best match available'},CH0030730391,,,
154084747245,154084747245,2238106,UKC,BM|CM,BM|CM,2007-05-15,JPMorgan Progressive Multi-Strategy Fund Limited,4297802219.0,IPO,Live,United Kingdom,2007-04-03,,25.06,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Shore Capital Stockbrokers Limited,UK Common Stock,1.0,-999.0,,2.028,,GG00B1RZDH28,"['LP65080595^L09', 'PMSF.L^L09', 'JPM.CH^F12', 'PMSFGBP.PZ^L09', 'PMSF.PO^L08']",{'error': 'No best match available'},GG00B1RZDH28,,,
154084747246,154084747246,2238123,UKC,BM,BM,2007-04-17,ORA Capital Partners Plc,4295897885.0,IPO,Live,United Kingdom,2007-04-03,,35.2143732,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Kaupthing HF,UK Common Stock,1.2,-999.0,2.386,2.675,,GB00B1VND277,,{'error': 'No best match available'},GB00B1VND277,Unknown symbol,,
154084747525,154084747525,2246179,EC,BM,BM,2007-05-11,Tembusu Investments Limited,4295859650.0,IPO,Live,Guernsey,2007-04-27,,6.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Basic Materials,Arm Corporate Finance Ltd,Euro & Foreign Common Stock,0.1,-999.0,0.198,0.277,,BMG875261023,,{'error': 'No best match available'},BMG875261023,Unknown symbol,,
154084747534,154084747534,2240998,EC,BM|JL,BM|JL,2007-05-01,Direct Wonen NV,4295885008.0,IPO,Live,Netherlands,2007-04-13,,61.22449033,London AIM,Ordinary Or Common Shares,Offer for Sale|Offer for Subscription,na,Real Estate,Collins Stewart Ltd|SNS Securities NV,Euro & Foreign Common Stock,1.37,-999.0,2.738,2.598,,NL0000817377,"['QMLS.L^G10', 'QMLS.BE^G10', 'QMLS.PZ^G10', 'DIWOl.INS^K08', 'QMLS.mGBP^I10', 'DIWO.rGBP^J09', 'DIWO.rEUR^J09', 'DIWO.PO^L08', 'QMLS.TG^G10', 'QMLS.mEUR^I10']",{'error': 'No best match available'},NL0000817377,,,
154084747564,154084747564,2252199,EC,JB|JB,JB|JB,2007-05-29,TyraTech Inc,4295903038.0,IPO,Live,United States,,,25.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Basic Materials,Nomura Securities Co Ltd|Jefferies International Ltd,Euro & Foreign Common Stock,5.0,-999.0,9.916,,,USU890581080,"['TYR.L^K18', 'TYRl.TRE^K18', 'TYR.BE^I14', 'TYRgb.PZ^A12', 'TYR.xt^K18', 'TYRl.INS^K08', 'TYR.mGBP^D12', 'TYRl.BCO^F19', 'TYR.mEUR^D12', 'TYR.PO^L08']",{'error': 'No best match available'},USU890581080,,,
